,name,films,tv_shows,short_films,allies,enemies,park_attractions,films_count,tv_shows_count,short_films_count,park_attractions_count,enemies_count,allies_count
3900,Lian and Park,"[""Pirates of the Caribbean: At World's End""]",,,,,,1,0,0,0,0,0
3901,Lieutenant Pug,['101 Dalmatians: The Series'],,,,,,1,0,0,0,0,0
3902,Lilliputtians,,['Gravity Falls'],,,,,0,1,0,0,0,0
3903,Little Brother,"['Mulan', 'Mulan II', 'Tarzan']",,,,,,3,0,0,0,0,0
3904,Little John,['The Story of Robin Hood and His Merrie Men'],,,,,,1,0,0,0,0,0
3905,"Loogie, the Joker",,['Get Ed'],,,,,0,1,0,0,0,0
3906,Lord Rhodes,['Around the World in 80 Days'],,,,,,1,0,0,0,0,0
3907,Ludo's army,,['Star vs. the Forces of Evil'],,,,,0,1,0,0,0,0
3908,Keelhaul Pete,,,,,,,0,0,0,0,0,0
3909,Lord Kelvin,['Around the World in 80 Days'],,,,,,1,0,0,0,0,0
3910,Ki,['Mars Needs Moms'],,,,,,1,0,0,0,0,0
3911,Kimyo and Nabasu,,['The Lion Guard'],,,,,0,1,0,0,0,0
3912,Emily Kinzey,,['Fillmore!'],,,,,0,1,0,0,0,0
3913,Kitten,,,['Lend a Paw'],,,,0,0,1,0,0,0
3914,Knuck,['Oz the Great and Powerful'],,,,,,1,0,0,0,0,0
3915,Komodo Dragon,,['The Lion Guard'],,,,,0,1,0,0,0,0
3916,Krackenstein,,['Randy Cunningham: 9th Grade Ninja'],,,,,0,1,0,0,0,0
3917,Kuzco,"[""The Emperor's New Groove"", ""Kronk's New Groove"", ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", 'Ralph Breaks the Internet']","['House of Mouse', ""The Emperor's New School"", ""It's a Small World: The Animated Series""]",,,,"['Villains Tonight', 'Sorcerers of the Magic Kingdom', 'Midship Detective Agency', 'Disney Stars on Parade', 'Wonderful World of Animation']",4,3,0,5,0,0
3918,Ladies from the Stand,['Make Mine Music'],,,,,,1,0,0,0,0,0
3919,Vanessa LaFontaine,,['A.N.T. Farm'],,,,,0,1,0,0,0,0
3920,Lana,,"[""I'm in the Band""]",,,,,0,1,0,0,0,0
3921,Burton LaValle,,,,,,,0,0,0,0,0,0
3922,Lil Oldman,,,,,,,0,0,0,0,0,0
3923,Abraslam Lincoln,,['The Replacements'],,,,,0,1,0,0,0,0
3924,Soo Ling,,['Quack Pack'],,,,,0,1,0,0,0,0
3925,Lion (Mickey Mouse Works),,['Mickey Mouse Works'],,,,,0,1,0,0,0,0
3926,Lionel,"[""Rodgers & Hammerstein's Cinderella""]",,,,,,1,0,0,0,0,0
3927,Lioness,,['The Lion Guard'],,,,,0,1,0,0,0,0
3928,Little Bits,,['Wander Over Yonder'],,,,,0,1,0,0,0,0
3929,Little Bo Peep,"[""Mother Goose Rock 'n' Rhyme""]","[""Dumbo's Circus"", 'Once Upon a Time']","['Mother Goose Melodies', 'Old King Cole', 'Mother Goose Goes Hollywood']",,,,1,2,3,0,0,0
3930,Kate,,,['Inner Workings'],,,,0,0,1,0,0,0
3931,Little Helper,,"['DuckTales', 'DuckTales (2017 series)']",['Sport Goofy in Soccermania'],,,,0,2,1,0,0,0
3932,Marnie Lockjelly,,['American Dragon: Jake Long'],,,,,0,1,0,0,0,0
3933,Sander Loyer,"['Camp Rock', 'Camp Rock 2: The Final Jam']",,,,,,2,0,0,0,0,0
3934,Luath,['The Incredible Journey'],,,,,,1,0,0,0,0,0
3935,Lucille,,['Fillmore!'],,,,,0,1,0,0,0,0
3936,Lucinda,['Hannah Montana: The Movie'],,,,,,1,0,0,0,0,0
3937,Cool Hands Luke,,['TaleSpin'],,,,,0,1,0,0,0,0
3938,Lux,,['Tron: Uprising'],,,,,0,1,0,0,0,0
3939,David Kawena,"['Lilo & Stitch', 'Stitch! The Movie', 'Lilo & Stitch 2: Stitch Has a Glitch', 'Leroy & Stitch']",['Lilo & Stitch: The Series'],,,,,4,1,0,0,0,0
3940,Kenai,"['Brother Bear', 'Brother Bear 2', 'Ralph Breaks the Internet']",['A Poem Is...'],,,,"['Jingle Bell, Jingle BAM!']",3,1,0,1,0,0
3941,Kernel,['Leroy & Stitch'],['Lilo & Stitch: The Series'],,,,,1,1,0,0,0,0
3942,Kiki,,['T.O.T.S.'],,,,,0,1,0,0,0,0
3943,The King,"['Cinderella (1950 film)', 'Cinderella II: Dreams Come True', 'Cinderella III: A Twist in Time', 'The Little Mermaid', 'Cinderella (2015 film)']","['House of Mouse', 'Once Upon a Time']",,,,"[""Cinderella's Golden Carousel"", ""Cinderella's Fairy Tale Hall""]",5,2,0,2,0,0
3944,The King and the Duke,['The Adventures of Huck Finn'],,,,,,1,0,0,0,0,0
3945,King of the Echos,,['The 7D'],,,,,0,1,0,0,0,0
3946,King Philip and Queen Everly,,['Sofia the First'],,,,,0,1,0,0,0,0
3947,Kocoum,['Pocahontas (film)'],,,,,,1,0,0,0,0,0
3948,Lagoona Gator,,,,,,['Typhoon Lagoon'],0,0,0,1,0,0
3949,Leech,,['Goof Troop'],,,,,0,1,0,0,0,0
3950,Lela Avery Dean,"['Teen Beach Movie', 'Teen Beach 2']",,,,,,2,0,0,0,0,0
3951,Lester the Possum,['A Goofy Movie'],['DuckTales (2017 series)'],,,,,1,1,0,0,0,0
3952,Li'l Davy,,,,,,,0,0,0,0,0,0
3953,Li'l Gideon,,['Gravity Falls'],,,,,0,1,0,0,0,0
3954,Lily St. Regis,['Annie (1999 film)'],,,,,,1,0,0,0,0,0
3955,Lambert Lion,['Return to Never Land'],"['Quack Pack', 'DuckTales']","['Lambert the Sheepish Lion', 'Social Lion']",,,,1,2,2,0,0,0
3956,Little Evil,,['The Little Mermaid (TV series)'],,,,,0,1,0,0,0,0
3957,Little Yama,['Big Hero 6'],['Big Hero 6: The Series'],,,,,1,1,0,0,0,0
3958,Lobster Mobster and Da Shrimp,,['The Little Mermaid (TV series)'],,,,,0,1,0,0,0,0
3959,Lolph and Dundgren,,['Gravity Falls'],,,,,0,1,0,0,0,0
3960,Lucky,,['T.O.T.S.'],,,,,0,1,0,0,0,0
3961,Lula,,['Dave the Barbarian'],,,,,0,1,0,0,0,0
3962,Katie Doss,,['TaleSpin'],,,,,0,1,0,0,0,0
3963,Kazeem,,['Sofia the First'],,,,,0,1,0,0,0,0
3964,Kelly,,"['Handy Manny', 'Special Agent Oso']",,,,,0,2,0,0,0,0
3965,Kely,,['The Lion Guard'],,,,,0,1,0,0,0,0
3966,Khaka Peu Peu,,['Phineas and Ferb'],,,,,0,1,0,0,0,0
